# t x y z qx qy qz qw vx vy vz
0.153333 -0.098322 -0.725295 0.237319 -0.031139 0.060596 0.067953 0.995360 -0.254183 -4.915169 2.359423
0.156667 -0.099142 -0.741693 0.245243 -0.031858 0.061988 0.069498 0.995144 -0.237490 -4.923192 2.394611
0.160000 -0.099906 -0.758117 0.253283 -0.032578 0.063382 0.071045 0.994924 -0.220810 -4.931214 2.429794
0.163333 -0.100614 -0.774568 0.261441 -0.033299 0.064778 0.072594 0.994699 -0.204142 -4.939237 2.464973
0.166667 -0.101267 -0.791045 0.269717 -0.034021 0.066174 0.074144 0.994468 -0.187486 -4.947261 2.500150
0.170000 -0.101864 -0.807549 0.278109 -0.034743 0.067572 0.075695 0.994232 -0.170839 -4.955287 2.535323
0.173333 -0.102406 -0.824080 0.286619 -0.035466 0.068972 0.077248 0.993991 -0.154203 -4.963315 2.570496
0.176667 -0.102892 -0.840638 0.295246 -0.036190 0.070372 0.078801 0.993745 -0.137575 -4.971347 2.605667
0.180000 -0.103323 -0.857223 0.303990 -0.036914 0.071773 0.080356 0.993493 -0.120957 -4.979382 2.640838
0.183333 -0.103698 -0.873834 0.312851 -0.037639 0.073175 0.081911 0.993237 -0.104347 -4.987420 2.676010
0.186667 -0.104019 -0.890472 0.321830 -0.038364 0.074578 0.083467 0.992975 -0.087747 -4.995463 2.711184
0.190000 -0.104283 -0.907137 0.330926 -0.039090 0.075981 0.085024 0.992708 -0.071156 -5.003510 2.746360
0.193333 -0.104493 -0.923829 0.340139 -0.039816 0.077385 0.086582 0.992436 -0.054575 -5.011561 2.781539
0.196667 -0.104647 -0.940547 0.349469 -0.040542 0.078790 0.088139 0.992159 -0.038004 -5.019616 2.816722
0.200000 -0.104746 -0.957293 0.358917 -0.041268 0.080194 0.089698 0.991877 -0.021443 -5.027676 2.851908
0.203333 -0.104790 -0.974065 0.368482 -0.041995 0.081599 0.091256 0.991590 -0.004892 -5.035740 2.887099
0.206667 -0.104779 -0.990865 0.378164 -0.042721 0.083004 0.092814 0.991297 0.011647 -5.043808 2.922295
0.210000 -0.104713 -1.007691 0.387964 -0.043448 0.084409 0.094373 0.991000 0.028175 -5.051881 2.957496
0.213333 -0.104591 -1.024544 0.397881 -0.044175 0.085814 0.095931 0.990698 0.044691 -5.059957 2.992703
0.216667 -0.104415 -1.041424 0.407916 -0.044901 0.087219 0.097490 0.990390 0.061195 -5.068037 3.027914
0.220000 -0.104183 -1.058331 0.418067 -0.045628 0.088624 0.099047 0.990078 0.077687 -5.076121 3.063130
0.223333 -0.103897 -1.075265 0.428336 -0.046354 0.090028 0.100605 0.989760 0.094166 -5.084209 3.098351
0.226667 -0.103555 -1.092225 0.438723 -0.047080 0.091431 0.102162 0.989438 0.110634 -5.092301 3.133576
0.230000 -0.103159 -1.109213 0.449227 -0.047805 0.092835 0.103718 0.989110 0.127089 -5.100396 3.168805
0.233333 -0.102708 -1.126228 0.459848 -0.048531 0.094237 0.105274 0.988778 0.143531 -5.108495 3.204036
0.236667 -0.102202 -1.143270 0.470587 -0.049255 0.095639 0.106828 0.988441 0.159962 -5.116598 3.239269
0.240000 -0.101642 -1.160339 0.481443 -0.049980 0.097039 0.108382 0.988099 0.176381 -5.124704 3.274503
0.243333 -0.101026 -1.177435 0.492417 -0.050704 0.098439 0.109934 0.987752 0.192789 -5.132813 3.309736
0.246667 -0.100357 -1.194557 0.503508 -0.051427 0.099838 0.111486 0.987400 0.209185 -5.140925 3.344969
0.250000 -0.099632 -1.211707 0.514717 -0.052149 0.101235 0.113036 0.987043 0.225571 -5.149041 3.380200
0.253333 -0.098853 -1.228884 0.526043 -0.052871 0.102631 0.114585 0.986682 0.241946 -5.157160 3.415428
0.256667 -0.098019 -1.246088 0.537486 -0.053592 0.104026 0.116132 0.986316 0.258312 -5.165283 3.450652
0.260000 -0.097131 -1.263320 0.549047 -0.054313 0.105419 0.117677 0.985946 0.274668 -5.173408 3.485870
0.263333 -0.096188 -1.280578 0.560726 -0.055032 0.106811 0.119221 0.985570 0.291015 -5.181536 3.521083
0.266667 -0.095191 -1.297863 0.572521 -0.055751 0.108201 0.120763 0.985191 0.307352 -5.189668 3.556289
0.270000 -0.094139 -1.315176 0.584434 -0.056468 0.109589 0.122303 0.984806 0.323682 -5.197802 3.591488
0.273333 -0.093033 -1.332515 0.596464 -0.057185 0.110976 0.123841 0.984417 0.340003 -5.205939 3.626679
0.276667 -0.091872 -1.349882 0.608612 -0.057900 0.112360 0.125377 0.984024 0.356316 -5.214079 3.661861
0.280000 -0.090657 -1.367276 0.620877 -0.058614 0.113742 0.126910 0.983626 0.372622 -5.222222 3.697034
0.283333 -0.089388 -1.384697 0.633259 -0.059327 0.115122 0.128441 0.983224 0.388919 -5.230368 3.732199
